"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"123","MSB:Fish:5817",1987,9,10,"MSB 5817-3","JAR11780F","EO","CW","08-04-2025",NA,53,43,1548,"impact","impact_1981-1990",34.905272,-106.685564,"trem.meta",0
"124","MSB:Fish:5817",1987,9,10,"MSB 5817-4","JAR11777F","BP","EO","08-04-2025","F",50,40,1098,"impact","impact_1981-1990",34.905272,-106.685564,"trem.meta",0
"125","MSB:Fish:5817",1987,9,10,"MSB 5817-5","JAR11782F","EO","CW","08-04-2025",NA,40,33,563,"impact","impact_1981-1990",34.905272,-106.685564,"trem.meta",0
"126","MSB:Fish:5817",1987,9,10,"MSB 5817-2","JAR11779F","BP","CW","08-04-2025",NA,57,45,1588,"impact","impact_1981-1990",34.905272,-106.685564,"trem.meta",0
"127","MSB:Fish:5828",1987,9,10,"MSB 5828-5","JAR11771F","EO","CW","08-04-2025",NA,42,33,561,"impact","impact_1981-1990",34.875039,-106.717581,"trem.meta",0
"128","MSB:Fish:5828",1987,9,10,"MSB 5828-2","JAR11766F","EO","CW","08-04-2025",NA,43,35,813,"impact","impact_1981-1990",34.875039,-106.717581,"trem.meta",0
"129","MSB:Fish:5828",1987,9,10,"MSB 5282-1","JAR11763F","EO","CW","08-04-2025",NA,49,40,1320,"impact","impact_1981-1990",34.875039,-106.717581,"trem.meta",0
"130","MSB:Fish:5828",1987,9,10,"MSB 5828-3","JAR11772F","EO","MV","08-04-2025",NA,39,31,514,"impact","impact_1981-1990",34.875039,-106.717581,"trem.meta",0
"131","MSB:Fish:5828",1987,9,10,"MSB 5828-4","JAR11769F","BP","JG","08-04-2025","F",37,30,514,"impact","impact_1981-1990",34.875039,-106.717581,"trem.meta",0
"132","MSB:Fish:611",1949,10,28,"MSB 611-4","JAR11743F","EO","CLW","07-31-2025",NA,51,42,1109,"impact","impact_1941-1950",35.155761,-106.655157,"trem.meta",0
